Character,Line Count,Dialogue Duration,Wookieepedia Article,Gender,Movie,Word Count
Snoke,101,272.037,https://starwars.fandom.com/wiki/Snoke,Male,The Last Jedi (2017),473
Leia,70,134.373,https://starwars.fandom.com/wiki/Leia_Skywalker_Organa_Solo,Female,The Last Jedi (2017),361
Hux,67,144.539,https://starwars.fandom.com/wiki/Armitage_Hux,Male,The Last Jedi (2017),353
DJ,57,110.375,https://starwars.fandom.com/wiki/DJ,Male,The Last Jedi (2017),241
Holdo,55,106.29,https://starwars.fandom.com/wiki/Amilyn_Holdo,Female,The Last Jedi (2017),287
BB-8,47,62.953,https://starwars.fandom.com/wiki/BB-8,Male,The Last Jedi (2017),7
Yoda,31,67.584,https://starwars.fandom.com/wiki/Yoda,Male,The Last Jedi (2017),124
Larma D'Acy,27,52.332,https://starwars.fandom.com/wiki/Larma_D'Acy,Female,The Last Jedi (2017),155
C-3PO,27,54.914,https://starwars.fandom.com/wiki/C-3PO,Male,The Last Jedi (2017),143
Canto Bight Cop,18,27.333,https://starwars.fandom.com/wiki/Canto_Bight_Police_Department,Male,The Last Jedi (2017),78
Chewie,17,27.04,https://starwars.fandom.com/wiki/Chewbacca,Male,The Last Jedi (2017),0
Maz,16,37.332,https://starwars.fandom.com/wiki/Maz_Kanata,Female,The Last Jedi (2017),110
Peavey,15,28.417,https://starwars.fandom.com/wiki/Edrison_Peavey,Male,The Last Jedi (2017),88
Connix,14,24.708,https://starwars.fandom.com/wiki/Kaydel_Ko_Connix,Female,The Last Jedi (2017),64
Resistance Soldier,13,18.292,https://starwars.fandom.com/wiki/Resistance_army,Male,The Last Jedi (2017),65
Canady,12,19.876,https://starwars.fandom.com/wiki/Moden_Canady,Male,The Last Jedi (2017),61
Porg,11,16.168,https://starwars.fandom.com/wiki/Porg,Unknown gender,The Last Jedi (2017),0
Phasma,11,20.624,https://starwars.fandom.com/wiki/Phasma,Female,The Last Jedi (2017),43
Tallie,10,14.291,https://starwars.fandom.com/wiki/Tallissan_Lintra,Female,The Last Jedi (2017),42
Male Resistance Pilot,9,13.042,https://starwars.fandom.com/wiki/Resistance_pilot,Male,The Last Jedi (2017),30
R2-D2,9,11.832,https://starwars.fandom.com/wiki/R2-D2,Male,The Last Jedi (2017),0
Male First Order Officer,8,15,https://starwars.fandom.com/wiki/First_Order_officer,Male,The Last Jedi (2017),55
Fathier,7,8.917,https://starwars.fandom.com/wiki/Fathier,Unknown gender,The Last Jedi (2017),0
Vulptex,6,9,https://starwars.fandom.com/wiki/Vulptex,Unknown gender,The Last Jedi (2017),0
Thamm,6,8.209,https://starwars.fandom.com/wiki/Thamm,Male,The Last Jedi (2017),30
Dobbu Scay,6,6.208,https://starwars.fandom.com/wiki/Dobbu_Scay,Male,The Last Jedi (2017),6
Ackbar,5,8.751,https://starwars.fandom.com/wiki/Gial_Ackbar,Male,The Last Jedi (2017),17
Stormtrooper,5,5.583,https://starwars.fandom.com/wiki/Stormtrooper_(First_Order),Male,The Last Jedi (2017),21
Male Resistance Announcer,5,9.208,none,Male,The Last Jedi (2017),28
Slowen Lo,4,8.376,https://starwars.fandom.com/wiki/Slowen_Lo,Male,The Last Jedi (2017),33
Oniho Zaya,4,6.75,https://starwars.fandom.com/wiki/Oniho_Zaya,Male,The Last Jedi (2017),4
Female Resistance Pilot,4,5.667,https://starwars.fandom.com/wiki/Resistance_pilot,Female,The Last Jedi (2017),17
C'ai,4,5.042,https://starwars.fandom.com/wiki/C'ai_Threnalli,Male,The Last Jedi (2017),0
Female Resistance Announcer,4,7.376,none,Female,The Last Jedi (2017),22
Male Resistance Officer,3,6.5,https://starwars.fandom.com/wiki/Resistance_officer,Male,The Last Jedi (2017),16
Bascus,3,5.25,https://starwars.fandom.com/wiki/Suday_Bascus,Male,The Last Jedi (2017),6
Nix Jerd,3,5.291,https://starwars.fandom.com/wiki/Nix_Jerd,Male,The Last Jedi (2017),15
Bargwill Tomder,3,6.75,https://starwars.fandom.com/wiki/Bargwill_Tomder,Male,The Last Jedi (2017),0
BB-9E,3,3.708,https://starwars.fandom.com/wiki/BB-9E,Unknown gender,The Last Jedi (2017),0
Anodyne Pilot,3,6.709,https://starwars.fandom.com/wiki/Unidentified_Anodyne_pilot,Male,The Last Jedi (2017),19
Finch Dallow,3,3.833,https://starwars.fandom.com/wiki/Finch_Dallow,Male,The Last Jedi (2017),15
Goneril,3,4.667,https://starwars.fandom.com/wiki/Goneril,Female,The Last Jedi (2017),14
Finalizer Monitor,3,6.833,https://starwars.fandom.com/wiki/Armitage_Hux%27s_First_Order_monitor,Female,The Last Jedi (2017),20
First Order Pilot,2,2.208,none,Male,The Last Jedi (2017),4
Resistance Pilot,2,2.834,https://starwars.fandom.com/wiki/Resistance_pilot,Unknown gender,The Last Jedi (2017),5
Paige,2,2.5,https://starwars.fandom.com/wiki/Paige_Tico,Female,The Last Jedi (2017),2
Master Codebreaker,2,3.083,https://starwars.fandom.com/wiki/Master_Codebreaker,Male,The Last Jedi (2017),10
Lanai Caretaker,2,4,https://starwars.fandom.com/wiki/Caretakers,Female,The Last Jedi (2017),0
Jones,2,3.459,https://starwars.fandom.com/wiki/Huetrin_Jones,Male,The Last Jedi (2017),15
Mirror Cave Voice,2,2.875,https://starwars.fandom.com/wiki/Mirror_cave,Female,The Last Jedi (2017),2
Thala-siren,2,4.333,https://starwars.fandom.com/wiki/Thala-siren,Female,The Last Jedi (2017),0
Jedi Code Chant,2,3.916,https://starwars.fandom.com/wiki/Jedi_Code,Unknown gender,The Last Jedi (2017),0
Yasto Attsmun,1,2.042,https://starwars.fandom.com/wiki/Yasto_Attsmun,Male,The Last Jedi (2017),0
Cova Nell,1,1.417,https://starwars.fandom.com/wiki/Cova_Nell,Female,The Last Jedi (2017),3
Ubbla Mollbro,1,1.167,https://starwars.fandom.com/wiki/Ubbla_Mollbro,Female,The Last Jedi (2017),0
Female First Order Officer,1,1.417,https://starwars.fandom.com/wiki/First_Order_officer,Female,The Last Jedi (2017),9
Jaycris Tubbs,1,1.417,https://starwars.fandom.com/wiki/Jaycris_Tubbs,Male,The Last Jedi (2017),2
Mouse Droid,1,1.458,https://starwars.fandom.com/wiki/MSE-6_series_repair_droid,Unknown gender,The Last Jedi (2017),0
Bufopel,1,1.083,https://starwars.fandom.com/wiki/Unidentified_Bufopel_(Canto_Bight),Male,The Last Jedi (2017),0
Gurney Operator,1,1.167,none,Female,The Last Jedi (2017),9
Teene,1,1.542,https://starwars.fandom.com/wiki/Ben_Teene,Male,The Last Jedi (2017),2
Sharp,1,0.958,https://starwars.fandom.com/wiki/Sharp_(Resistance),Male,The Last Jedi (2017),1
Temiri Blagg,1,1.958,https://starwars.fandom.com/wiki/Temiri_Blagg,Male,The Last Jedi (2017),4
Fathier Race Announcer,1,1.542,https://starwars.fandom.com/wiki/Fathier_racing,Male,The Last Jedi (2017),0
Resistance Medic,1,2.292,https://starwars.fandom.com/wiki/Medic,Female,The Last Jedi (2017),7
Lovey,1,2.125,https://starwars.fandom.com/wiki/Lovey,Female,The Last Jedi (2017),3
Poe,319,476.527,https://starwars.fandom.com/wiki/Poe_Dameron,Male,The Rise of Skywalker (2019),1594
Rey,232,360.741,https://starwars.fandom.com/wiki/Rey_Skywalker,Female,The Rise of Skywalker (2019),992
Finn,231,327.494,https://starwars.fandom.com/wiki/Finn,Male,The Rise of Skywalker (2019),964
C-3PO,128,243.375,https://starwars.fandom.com/wiki/C-3PO,Male,The Rise of Skywalker (2019),655
Palpatine,101,281.793,https://starwars.fandom.com/wiki/Darth_Sidious,Male,The Rise of Skywalker (2019),500
Kylo Ren,89,161.295,https://starwars.fandom.com/wiki/Ben_Solo,Male,The Rise of Skywalker (2019),462
Zorii,53,90.584,https://starwars.fandom.com/wiki/Zorii_Bliss,Female,The Rise of Skywalker (2019),269
Jannah,50,80.916,https://starwars.fandom.com/wiki/Jannah,Female,The Rise of Skywalker (2019),213
Lando,37,64.289,https://starwars.fandom.com/wiki/Landonis_Balthazar_Calrissian,Male,The Rise of Skywalker (2019),177
Male Stormtrooper,35,42.871,https://starwars.fandom.com/wiki/Stormtrooper_(First_Order),Male,The Rise of Skywalker (2019),128
Chewie,35,51.707,https://starwars.fandom.com/wiki/Chewbacca,Male,The Rise of Skywalker (2019),0
BB-8,33,49.124,https://starwars.fandom.com/wiki/BB-8,Male,The Rise of Skywalker (2019),0
Pryde,31,49.332,https://starwars.fandom.com/wiki/Enric_Pryde,Male,The Rise of Skywalker (2019),142
Luke,30,69.209,https://starwars.fandom.com/wiki/Luke_Skywalker,Male,The Rise of Skywalker (2019),173
Hux,27,44.582,https://starwars.fandom.com/wiki/Armitage_Hux,Male,The Rise of Skywalker (2019),128
Rose,20,29.707,https://starwars.fandom.com/wiki/Rose_Tico,Female,The Rise of Skywalker (2019),88
D-O,20,28.206,https://starwars.fandom.com/wiki/D-O,Male,The Rise of Skywalker (2019),46
R2-D2,18,25.832,https://starwars.fandom.com/wiki/R2-D2,Male,The Rise of Skywalker (2019),0
Beaumont,16,25.5,https://starwars.fandom.com/wiki/Beaumont_Kin,Male,The Rise of Skywalker (2019),74
Leia,16,28.543,https://starwars.fandom.com/wiki/Leia_Skywalker_Organa_Solo,Female,The Rise of Skywalker (2019),66
Snap,15,20.124,https://starwars.fandom.com/wiki/Temmin_Wexley,Male,The Rise of Skywalker (2019),67
Han,14,21.541,https://starwars.fandom.com/wiki/Han_Solo,Male,The Rise of Skywalker (2019),40
Female Stormtrooper,12,16.126,https://starwars.fandom.com/wiki/Stormtrooper_(First_Order),Female,The Rise of Skywalker (2019),35
Vexis,11,19.458,https://starwars.fandom.com/wiki/Vexis,Unknown gender,The Rise of Skywalker (2019),0
Babu Frik,11,21.001,https://starwars.fandom.com/wiki/Babu_Frik,Male,The Rise of Skywalker (2019),15
Sith Eternal cultists,10,14.915,https://starwars.fandom.com/wiki/Sith_cultist,Unknown gender,The Rise of Skywalker (2019),0
Maz,8,18.874,https://starwars.fandom.com/wiki/Maz_Kanata,Female,The Rise of Skywalker (2019),41
Ben,8,11.502,https://starwars.fandom.com/wiki/Ben_Solo,Male,The Rise of Skywalker (2019),34
Wrobie Tyce,6,8.041,https://starwars.fandom.com/wiki/Wrobie_Tyce,Female,The Rise of Skywalker (2019),36
Male Resistance Pilot,5,8.167,https://starwars.fandom.com/wiki/Resistance_pilot,Male,The Rise of Skywalker (2019),21
Connix,5,7.25,https://starwars.fandom.com/wiki/Kaydel_Ko_Connix,Female,The Rise of Skywalker (2019),21
Domaric Quinn,5,11.208,https://starwars.fandom.com/wiki/Domaric_Quinn,Male,The Rise of Skywalker (2019),30
Larma D'Acy,5,7.833,https://starwars.fandom.com/wiki/Larma_D'Acy,Female,The Rise of Skywalker (2019),22
Anakin,5,7.833,https://starwars.fandom.com/wiki/Anakin_Skywalker,Male,The Rise of Skywalker (2019),19
Rey's mother,5,8.333,https://starwars.fandom.com/wiki/Rey's_mother,Female,The Rise of Skywalker (2019),13
Female Resistance Pilot,4,5.292,https://starwars.fandom.com/wiki/Resistance_pilot,Female,The Rise of Skywalker (2019),8
Boolio,4,8.458,https://starwars.fandom.com/wiki/Boolio,Male,The Rise of Skywalker (2019),24
Frantis Griss,4,9.042,https://starwars.fandom.com/wiki/Frantis_Griss,Male,The Rise of Skywalker (2019),23
Male First Order Officer,4,5.333,https://starwars.fandom.com/wiki/First_Order_officer,Male,The Rise of Skywalker (2019),22
Male Resistance Crew,3,4.084,https://starwars.fandom.com/wiki/Resistance_technician,Male,The Rise of Skywalker (2019),11
Nambi Ghima,3,5.083,https://starwars.fandom.com/wiki/Nambi_Ghima,Female,The Rise of Skywalker (2019),0
Kenobi,3,6.333,https://starwars.fandom.com/wiki/Obi-Wan_Kenobi,Male,The Rise of Skywalker (2019),11
Masir Trach,3,3.917,https://starwars.fandom.com/wiki/Masir_Trach,Male,The Rise of Skywalker (2019),10
Kandia,3,4.25,https://starwars.fandom.com/wiki/Tishra_Kandia,Female,The Rise of Skywalker (2019),14
Aftab,3,3.375,https://starwars.fandom.com/wiki/Aftab_Ackbar,Male,The Rise of Skywalker (2019),13
Tatooine Elder,3,4.75,https://starwars.fandom.com/wiki/Unidentified_Tatooine_elder,Female,The Rise of Skywalker (2019),12
Mace,3,4.625,https://starwars.fandom.com/wiki/Mace_Windu,Male,The Rise of Skywalker (2019),12
Qui-Gon,3,6.542,https://starwars.fandom.com/wiki/Qui-Gon_Jinn,Male,The Rise of Skywalker (2019),14
Nimi Chireen,2,2.208,https://starwars.fandom.com/wiki/Nimi_Chireen,Female,The Rise of Skywalker (2019),3
Female Resistance Crew,2,3.333,https://starwars.fandom.com/wiki/Resistance_technician,Female,The Rise of Skywalker (2019),9
Female Kijimi Resident,2,3.083,https://starwars.fandom.com/wiki/Kijimi,Female,The Rise of Skywalker (2019),12
Engell,2,3.458,https://starwars.fandom.com/wiki/Amret_Engell,Female,The Rise of Skywalker (2019),11
Aayla,2,3.208,https://starwars.fandom.com/wiki/Aayla_Secura,Female,The Rise of Skywalker (2019),11
Amuncie Tidian,2,2.5,https://starwars.fandom.com/wiki/Amuncie_Tidian,Male,The Rise of Skywalker (2019),0
Chesille Sabrond,2,3.042,https://starwars.fandom.com/wiki/Chesille_Sabrond,Female,The Rise of Skywalker (2019),3
Vanik,2,3.042,https://starwars.fandom.com/wiki/Seftin_Vanik,Male,The Rise of Skywalker (2019),6
Klaud,2,4.25,https://starwars.fandom.com/wiki/Klaud,Male,The Rise of Skywalker (2019),0
Yoda,2,4.333,https://starwars.fandom.com/wiki/Yoda,Male,The Rise of Skywalker (2019),9
Female First Order Officer,2,2.25,https://starwars.fandom.com/wiki/First_Order_officer,Female,The Rise of Skywalker (2019),5
Female Final Order Officer,2,3.042,https://starwars.fandom.com/wiki/Final_Order,Female,The Rise of Skywalker (2019),6
First Order Announcer,2,3.208,none,Unknown gender,The Rise of Skywalker (2019),7
Rey's father,2,2.458,https://starwars.fandom.com/wiki/Rey%27s_father,Male,The Rise of Skywalker (2019),6
Pasanna creature,2,3.375,https://starwars.fandom.com/wiki/Pasaana,Unknown gender,The Rise of Skywalker (2019),0
Milon Lenwith,2,3,https://starwars.fandom.com/wiki/Milon_Lenwith,Male,The Rise of Skywalker (2019),5
Orbak,2,3.416,https://starwars.fandom.com/wiki/Orbak,Unknown gender,The Rise of Skywalker (2019),0
Aki-Aki children,1,1.542,https://starwars.fandom.com/wiki/Aki-Aki,Unknown gender,The Rise of Skywalker (2019),0
Kanan,1,2.958,https://starwars.fandom.com/wiki/Kanan_Jarrus,Male,The Rise of Skywalker (2019),9
Jawa,1,1.792,https://starwars.fandom.com/wiki/Jawa,Unknown gender,The Rise of Skywalker (2019),1
Kijimi Resident,1,1.167,https://starwars.fandom.com/wiki/Kijimi,Unknown gender,The Rise of Skywalker (2019),0
Nien Nunb,1,0.917,https://starwars.fandom.com/wiki/Nien_Nunb,Male,The Rise of Skywalker (2019),5
Wedge,1,1.125,https://starwars.fandom.com/wiki/Wedge_Antilles,Male,The Rise of Skywalker (2019),3
Vader,1,1.583,https://starwars.fandom.com/wiki/Anakin_Skywalker,Male,The Rise of Skywalker (2019),2
Pasaana alien,1,1.958,https://starwars.fandom.com/wiki/Pasaana,Unknown gender,The Rise of Skywalker (2019),0
Simero Quonit,1,2.75,https://starwars.fandom.com/wiki/Simero_Quonit,Unknown gender,The Rise of Skywalker (2019),5
Porg,1,1.667,https://starwars.fandom.com/wiki/Porg,Unknown gender,The Rise of Skywalker (2019),0
Female Resistance Officer,1,1.083,https://starwars.fandom.com/wiki/Resistance_officer,Female,The Rise of Skywalker (2019),0
CS-9147,1,1.208,https://starwars.fandom.com/wiki/CS-9147,Unknown gender,The Rise of Skywalker (2019),4
Aki-Aki Storyteller,1,3,https://starwars.fandom.com/wiki/Aki-Aki,Unknown gender,The Rise of Skywalker (2019),0
Aki-Aki baby,1,1.167,https://starwars.fandom.com/wiki/Aki-Aki,Unknown gender,The Rise of Skywalker (2019),0
Kalo'ne,1,1.958,https://starwars.fandom.com/wiki/Kalo%27ne,Female,The Rise of Skywalker (2019),1
Bellava Parnadee,1,1.125,https://starwars.fandom.com/wiki/Bellava_Parnadee,Female,The Rise of Skywalker (2019),3
Adi,1,1.167,https://starwars.fandom.com/wiki/Adi_Gallia,Female,The Rise of Skywalker (2019),2
C'ai,1,1.417,https://starwars.fandom.com/wiki/C'ai_Threnalli,Male,The Rise of Skywalker (2019),4
Kijimi Creature,1,1.917,https://starwars.fandom.com/wiki/Kijimi,Unknown gender,The Rise of Skywalker (2019),0
Male First Order Pilot,1,1.333,https://starwars.fandom.com/wiki/First_Order_TIE_Fighter_Pilot,Male,The Rise of Skywalker (2019),3
Ahsoka,1,0.958,https://starwars.fandom.com/wiki/Ahsoka_Tano,Female,The Rise of Skywalker (2019),4
Luminara,1,1.542,https://starwars.fandom.com/wiki/Luminara_Unduli,Female,The Rise of Skywalker (2019),1
Etobi,1,1.167,https://starwars.fandom.com/wiki/Etobi,Unknown gender,The Rise of Skywalker (2019),0
Sith Rey,1,2.208,https://starwars.fandom.com/wiki/Rey_Skywalker,Female,The Rise of Skywalker (2019),7
Aki-Aki,1,1.958,https://starwars.fandom.com/wiki/Aki-Aki,Unknown gender,The Rise of Skywalker (2019),0
Wicket,1,1.083,https://starwars.fandom.com/wiki/Wicket_Wystri_Warrick,Male,The Rise of Skywalker (2019),0
Male Final Order Officer,1,1.875,https://starwars.fandom.com/wiki/Final_Order,Male,The Rise of Skywalker (2019),6
